vessel	cruise	haul	species	sex	specimen	age	length
518	198101	67	20510	2	144	10	82
518	198101	77	20510	1	533	10	63
518	198101	82	20510	1	365	10	60
518	198101	82	20510	1	392	10	73
518	198101	82	20510	1	397	10	76
518	198101	82	20510	2	459	10	73
518	198101	92	20510	1	223	10	74
518	198101	92	20510	2	313	10	83
518	198101	92	20510	2	322	10	88
518	198101	104	20510	1	708	10	80
518	198101	104	20510	2	754	10	66
518	198101	104	20510	2	766	10	72
518	198101	104	20510	2	773	10	75
518	198101	104	20510	2	774	10	76
518	198101	40	20510	1	1039	11	64
518	198101	40	20510	2	1112	11	70
518	198101	40	20510	2	1128	11	78
518	198101	53	20510	1	849	11	60
518	198101	53	20510	1	861	11	66
518	198101	53	20510	1	870	11	70
518	198101	53	20510	2	967	11	83
518	198101	67	20510	1	45	11	66
518	198101	67	20510	1	46	11	67
518	198101	67	20510	1	65	11	77
518	198101	67	20510	2	128	11	74
518	198101	67	20510	2	134	11	77
518	198101	67	20510	2	148	11	84
518	198101	77	20510	2	590	11	63
518	198101	82	20510	1	356	11	55
518	198101	82	20510	1	373	11	64
518	198101	82	20510	1	381	11	68
518	198101	82	20510	2	463	11	75
518	198101	82	20510	2	452	11	69
518	198101	92	20510	1	200	11	63
518	198101	92	20510	2	301	11	77
518	198101	92	20510	2	304	11	79
518	198101	92	20510	2	328	11	91
518	198101	92	20510	2	317	11	85
518	198101	104	20510	1	670	11	60
518	198101	104	20510	1	674	11	62
518	198101	104	20510	1	677	11	64
518	198101	104	20510	1	681	11	66
518	198101	40	20510	1	1045	12	67
518	198101	40	20510	1	1053	12	71
518	198101	40	20510	1	1059	12	74
518	198101	40	20510	2	1104	12	66
518	198101	53	20510	1	860	12	65
518	198101	53	20510	2	940	12	70
518	198101	53	20510	2	950	12	75
518	198101	53	20510	2	952	12	76
518	198101	53	20510	2	955	12	77
518	198101	53	20510	2	959	12	79
518	198101	53	20510	2	961	12	80
518	198101	53	20510	2	971	12	85
518	198101	67	20510	1	52	12	70
518	198101	67	20510	1	56	12	72
518	198101	67	20510	1	60	12	74
518	198101	67	20510	2	135	12	77
518	198101	67	20510	2	145	12	82
518	198101	67	20510	2	121	12	70
518	198101	67	20510	2	149	12	84
518	198101	77	20510	1	542	12	68
518	198101	77	20510	1	543	12	68
518	198101	77	20510	1	545	12	69
518	198101	77	20510	2	629	12	82
518	198101	82	20510	1	368	12	61
518	198101	82	20510	1	380	12	67
518	198101	82	20510	1	387	12	71
518	198101	82	20510	1	393	12	74
518	198101	82	20510	2	464	12	75
518	198101	82	20510	2	494	12	97
518	198101	92	20510	1	203	12	64
518	198101	92	20510	1	230	12	78
518	198101	92	20510	2	307	12	80
518	198101	92	20510	2	310	12	82
518	198101	104	20510	1	669	12	60
518	198101	104	20510	1	678	12	64
518	198101	104	20510	1	688	12	69
518	198101	104	20510	1	692	12	71
518	198101	104	20510	1	693	12	72
518	198101	104	20510	1	696	12	73
518	198101	104	20510	2	747	12	62
518	198101	104	20510	2	740	12	59
518	198101	104	20510	2	780	12	79
518	198101	104	20510	2	786	12	82
518	198101	104	20510	2	794	12	86
518	198101	40	20510	1	1049	13	69
518	198101	40	20510	1	1055	13	72
518	198101	40	20510	1	1057	13	73
518	198101	40	20510	2	1108	13	68
518	198101	40	20510	2	1111	13	70
518	198101	40	20510	2	1118	13	73
518	198101	53	20510	1	887	13	79
518	198101	53	20510	2	932	13	66
518	198101	53	20510	2	923	13	61
518	198101	67	20510	1	44	13	66
518	198101	67	20510	1	47	13	67
518	198101	67	20510	1	48	13	68
518	198101	67	20510	1	49	13	68
518	198101	67	20510	1	53	13	70
518	198101	67	20510	2	136	13	78
518	198101	67	20510	2	139	13	79
518	198101	77	20510	1	555	13	82
518	198101	77	20510	2	625	13	80
518	198101	82	20510	1	384	13	69
518	198101	82	20510	2	481	13	84
518	198101	92	20510	1	193	13	59
518	198101	92	20510	1	210	13	68
518	198101	92	20510	1	217	13	71
518	198101	92	20510	2	315	13	84
518	198101	104	20510	1	676	13	63
518	198101	104	20510	1	684	13	67
518	198101	104	20510	2	768	13	73
518	198101	104	20510	2	775	13	76
518	198101	104	20510	2	776	13	77
518	198101	104	20510	2	779	13	78
518	198101	104	20510	2	807	13	92
518	198101	40	20510	1	1034	14	61
518	198101	40	20510	1	1047	14	68
518	198101	40	20510	1	1054	14	71
518	198101	40	20510	1	1065	14	77
518	198101	40	20510	2	1097	14	63
518	198101	40	20510	2	1115	14	72
518	198101	40	20510	2	1127	14	78
518	198101	40	20510	2	1132	14	80
518	198101	40	20510	2	1133	14	81
518	198101	53	20510	1	853	14	62
518	198101	53	20510	2	937	14	68
518	198101	53	20510	2	949	14	74
518	198101	53	20510	2	962	14	81
518	198101	67	20510	1	31	14	59
518	198101	67	20510	1	40	14	64
518	198101	67	20510	2	141	14	80
518	198101	67	20510	2	147	14	83
518	198101	67	20510	2	114	14	67
518	198101	67	20510	2	153	14	86
518	198101	77	20510	1	554	14	76
518	198101	77	20510	2	618	14	77
518	198101	82	20510	1	372	14	63
518	198101	82	20510	1	385	14	70
518	198101	82	20510	1	388	14	71
518	198101	82	20510	1	395	14	75
518	198101	82	20510	1	399	14	77
518	198101	82	20510	2	462	14	74
518	198101	82	20510	2	435	14	61
518	198101	82	20510	2	441	14	64
518	198101	82	20510	2	458	14	72
518	198101	92	20510	1	194	14	60
518	198101	92	20510	1	227	14	77
518	198101	92	20510	2	290	14	72
518	198101	92	20510	2	306	14	80
518	198101	92	20510	2	324	14	89
518	198101	104	20510	2	755	14	66
518	198101	104	20510	2	772	14	75
518	198101	104	20510	2	796	14	87
518	198101	40	20510	1	1052	15	70
518	198101	40	20510	2	1109	15	69
518	198101	40	20510	2	1126	15	77
518	198101	53	20510	1	856	15	63
518	198101	53	20510	1	868	15	69
518	198101	53	20510	2	942	15	71
518	198101	53	20510	2	945	15	72
518	198101	53	20510	2	960	15	80
518	198101	53	20510	2	966	15	83
518	198101	53	20510	2	981	15	90
518	198101	53	20510	2	983	15	91
518	198101	67	20510	1	41	15	64
518	198101	67	20510	1	61	15	75
518	198101	67	20510	1	66	15	77
518	198101	67	20510	1	70	15	80
518	198101	67	20510	2	146	15	83
518	198101	67	20510	2	118	15	69
518	198101	77	20510	1	539	15	66
518	198101	77	20510	2	608	15	72
518	198101	77	20510	2	630	15	84
518	198101	82	20510	2	461	15	74
518	198101	82	20510	2	465	15	76
